NAME,Rank,CATEGORY,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
Prof. Reginald Turner,0,X2,FDC7,HDC1,HDE4,FDC9,FDE2,HDC4,HDE1,FDE3,FDC3,FDC10
Dr. Beatrice Holloway,0,X2,FDC3,FDE1,HDE1,HDE4,HDC4,HDC2,FDC11,FDE6,FDC7,FDC8
Prof. Edmund Donovan,0,X2,FDE6,FDC1,HDC1,FDE4,FDC5,FDC4,FDC3,HDC4,HDE4,HDE2
Dr. Theodora Vaughn,0,X2,FDC3,FDC4,HDC3,FDC11,FDE6,FDE2,HDE1,HDE4,FDC2,HDC1
Prof. Arthur Chambers,0,X2,FDC8,FDE6,FDC6,FDC3,HDE3,HDC3,HDE2,HDC1,FDE3,FDC10
Dr. Octavia Blackwell,0,X2,HDE1,FDC9,FDC4,FDC1,HDC4,HDC3,FDE5,HDE4,FDC10,FDE3
Prof. Winston Hayes,0,X2,FDC1,FDE1,HDE3,FDC10,HDC4,HDC1,HDE1,FDC2,FDC6,FDE2
Dr. Claudia Morrison,0,X3,HDC2,FDE3,HDC3,FDC10,FDE2,FDC2,FDC5,FDC8,HDE3,HDE2
Prof. Solomon Reed,0,X3,FDC3,HDC4,FDC11,FDC10,HDE3,FDE6,FDE3,FDC2,HDE2,HDC3
Dr. Rosalind Hartman,0,X3,FDC3,FDC5,HDC1,HDE4,FDC8,HDE2,FDE6,FDE2,FDC1,HDC3
Prof. Victor Fleming,0,X3,HDC1,FDC3,FDE1,FDE2,HDE1,HDE4,FDC8,FDC5,FDC1,HDC4
Dr. Jocelyn Manning,0,X3,FDC6,FDC8,HDE2,FDE5,FDE6,FDC10,HDC3,FDC9,HDC4,HDE4
Prof. Rupert Bennett,0,X3,FDC1,HDE2,FDE5,FDC10,FDE3,HDE4,HDC3,HDC4,FDC2,FDC3
Dr. Tabitha Archer,0,X3,FDE2,FDC11,HDC1,FDC4,FDC1,FDE5,HDC3,HDE2,HDE1,FDC5
Prof. Gideon Wells,0,X3,FDC9,FDC4,FDE5,FDE6,FDC8,HDC2,HDE3,HDE1,HDC4,FDC1
Dr. Priscilla Griffin,0,X3,HDC1,FDE1,HDE2,HDE3,HDC3,FDC3,FDC4,FDE3,FDC11,FDC2
Prof. Ezekiel Blake,0,X3,HDE1,FDC5,FDE6,FDC3,FDE3,FDC8,FDC4,HDE2,HDC4,HDC3
Dr. Matilda Vaughn,0,X3,FDC5,FDE3,HDE3,FDC6,HDC4,FDC4,FDC3,HDC3,FDE5,HDE4
Prof. Percival Mitchell,0,X3,HDE2,FDC5,FDE5,FDC4,HDE4,FDE6,FDC10,FDC2,HDC4,HDC2
Dr. Cordelia Caldwell,0,X3,HDE3,FDC9,FDE2,FDC7,HDC1,FDC5,FDC1,FDE5,HDE4,HDC3
Prof. Nathaniel Turner,0,X3,HDC3,FDC11,FDE4,HDE2,HDE4,FDC5,FDE6,FDC10,HDC4,FDC1
Dr. Daphne Donovan,0,X3,FDC1,FDE5,HDC2,HDE1,HDC4,FDC10,FDE3,FDC5,FDC3,HDE4
Prof. Clement Morrison,0,X3,FDC1,FDE6,FDC10,HDC1,HDE1,FDE2,FDC9,HDC4,HDE2,FDC2
Dr. Desmond Vaughn,0,X3,FDC4,HDC3,FDC1,HDC4,HDE1,FDE5,FDC10,FDC3,HDE2,FDE4
Prof. Adelaide Griffin,0,X3,HDE1,HDC1,FDE1,FDC8,HDC4,FDC10,FDC5,FDE4,FDC6,HDE4
Dr. Jasper Wells,0,X3,FDC10,FDC4,FDC5,HDC2,FDE6,FDE2,FDC3,HDC3,HDE1,HDE3
Prof. Seraphina Blake,0,X3,FDC8,FDC6,FDE3,HDC2,HDC4,HDE2,FDC2,HDE3,FDC9,FDE4
